image,caption,Gemma_caption,Gemini_caption,Llama_caption
1019077836_6fc9b15408.jpg,كلب بني يطارد الماء علي العشب,كلب بني اللون وهو يركض بسعاده في حديقه خضراء، بينما تتدفق المياه من خرطوم قريب.,كلب بني يلعب بحماس علي العشب الاخضر بالقرب من رذاذ الماء.,كلب بلون بني فاتح يلعب بالماء.
1019604187_d087bf9a5f.jpg,كلب يستعد للقبض علي جسم في حقل مع السيارات القريبه,كلب ابيض اللون يركض بحماس في حديقه خضراء، محاولا الامساك بكره صفراء في الهواء.,كلب ابيض يطارد كره صفراء في الحديقه.,كلب ابيض يعض كره صفراء في الهواء في ساحه خضراء.
1020651753_06077ec457.jpg,كلب ابيض واسود يقفز في الهواء للحصول علي لعبه,يقفز كلب ابيض واسود في الهواء محاولا الامساك بكره صفراء.,كلب ابيض يقفز عاليا في مرج اخضر لالتقاط كره صفراء.,كلب ابيض واسود قافز في الهواء في ساحه خضراء.
1022454332_6af2c1449a.jpg,طفل وامراه علي حافه المياه في مدينه كبيره,طفلين يقفان علي ضفاف بحيره، احدهما يرفع يده وكانه يلوح او يطعم البط.,طفل يلوح لبطه علي ضفه بحيره في حديقه حضريه، مع مبان بعيده في الخلفيه.,صوره لطفلين احدهما يلقي بالطعام في بحيره هادءه في مدينه.
1022454428_b6b660a67b.jpg,زوجان يجلسان علي العشب مع رضيع وعربه اطفال,تظهر الصوره عاءله تتامل المناظر الطبيعيه الخلابه في حديقه، حيث يجلس الاب والام بجانب بعضهما البعض بينما يحملان طفلهما الصغير.,عاءله تجلس بجانب بحيره مع طفل رضيع وعربه اطفال.,زوجان وطفلهما الرضيع يجلسون علي العشب بجانب شجره، بالقرب من بحيره، وعربه اطفال بجانبهم.
1022975728_75515238d8.jpg,كلب يقفز في الماء,كلب اسود يركض في الماء علي الشاطء، مع وجود موجات حوله.,كلب اسود يجري في الامواج ويحدث رشاشا.,كلب اسود يجري في البحر.
102351840_323e3de834.jpg,رجل يحفر حفره في الجليد,تظهر الصوره شخصين يصطادان السمك علي سطح بحيره متجمده، مع وجود معدات الصيد مثل المثقاب الكهرباءي للثلج ومقعد علي زلاجات.,صيادان يقومان بصيد الاسماك علي الجليد، واحدهما يحفر ثقبا فيه.,رجلين يقومان بالصيد في بحيره متجمده.
1024138940_f1fefbdce1.jpg,كلاب بيضاء تلعب علي الشاطء,يركض كلبان بنيان علي شاطء رملي، ويبدو انهما يستمتعان باللعب والركض.,كلبان يلهوان علي شاطء البحر.,كلبان يركضان علي الشاطء.
102455176_5f8ead62d5.jpg,رجل يتسلق الجليد,متسلق جليد يرتدي خوذه حمراء وستره زرقاء، وهو يتسلق شلالا جليديا باستخدام فءوس الجليد والاحذيه ذات المسامير.,متسلق جليد يصعد جدارا جليديا باستخدام فءوس الجليد والكلابات.,رجل يتسلق الجليد باستخدام معدات متخصصه مثل الهراوي والخوذه الواقيه.
1026685415_0431cbf574.jpg,كلب اسود يحمل شيءا علي العشب,يركض كلب لابرادور اسود مبلل بفرح وهو يحمل لعبه طاءره خضراء في فمه، في حقل اخضر مليء بالعشب الطويل.,كلب اسود مبلل وهو يحمل اداه تدريب خضراء في فمه ويمشي عبر العشب الاخضر.,كلب اسود اللون يركض في حشيش اخضر وهو يحمل في فمه كره مطاطيه خضراء.
1028205764_7e8df9a2ea.jpg,رجل ورضيع في قوارب الكاياك الصفراء علي الماء,رجلا وطفلا صغيرا يجلسان في قارب كاياك اصفر اللون في الماء، والرجل يقوم بالتجديف.,رجل وطفل يجدفان بقارب كاياك اصفر علي الماء.,رجل وطفل في قارب كاياك اصفر يطفو علي الماء.
1030985833_b0902ea560.jpg,كلب اسود وكلب بني يقفزان للقبض علي لعبه حمراء,تجلس كلبان، احدهما بني والاخر اسود، في فناء، حيث يحمل الكلب الاسود لعبه في فمه بينما ينظر اليه الكلب البني.,كلبان يلعبان بحماس في الخارج، احدهما يمسك لعبه بفمه ويكشر عن انيابه.,تعرض الصوره كلبين، احدهما اسود والاخر بني، وهما يلعبان في الخارج.
103106960_e8a41d64f8.jpg,طفل يرتدي ستره حمراء يلعب هوكي,طفلا يرتدي ستره حمراء وهو يركع بجانب مرمي هوكي العشب، ويبدو انه يستعد للعب او يقوم بتجهيز المعدات.,فتي مبتسم يجلس القرفصاء مع عصا الهوكي امام مرمي.,صبي يمسك مضرب بيسبول امام مرمي كره قدم.
103195344_5d2dc613a3.jpg,رجل يجلس ويقرا صحيفه,تمثالا تجريديا كبيرا مصنوعا من المعدن امام مبني زجاجي حديث، مع وجود شخص يجلس علي مقعد بالقرب من التمثال.,تمثال تجريدي ضخم في ساحه حضريه امام مبان زجاجيه حديثه، مع رجل جالس يقرا.,الصوره لرجل يجلس امام منحوته معدنيه كبيره امام مبني زجاجي.
103205630_682ca7285b.jpg,يتم وضع خيمه علي الجليد,اليك وصف للصوره تظهر الصوره شخصين يقفان بجوار كوخ صيد جليدي ازرق علي سطح جليدي مغطي بالثلوج.,اشخاص يمارسون صيد الاسماك علي الجليد حول خيمه زرقاء.,الصوره لشخص يصطاد الاسماك من خلال الجليد.
1032122270_ea6f0beedb.jpg,امراه تجثم بالقرب من ثلاثه كلاب في حقل,تظهر الصوره ثلاثه كلاب من فصيله السلوقي في حقل اخضر واسع، بينما تجلس امراه علي التل وتراقبهم.,شخص وثلاثه كلاب في مرج اخضر واسع تحت سماء زرقاء مليءه بالغيوم.,صوره لامراه جالسه علي العشب الاخضر مع ثلاثه كلاب.
1032460886_4a598ed535.jpg,رجل يقف امام ناطحه سحاب,رجلا يقف وينظر الي الاعلي نحو مبني روكفلر سنتر الشاهق في مدينه نيويورك، محاطا بمباني اخري.,رجل ينظر الي ناطحه سحاب شاهقه تتوسط مبان اخري.,صوره لشاب امام ناطحه سحاب.
1034276567_49bb87c51c.jpg,طفل يقضم سلعه مخبوزه,طفلا ياكل فطيره او معجنات بحماس شديد، ويبدو من تعابير وجهه انه يستمتع بها كثيرا.,صبي ياكل فطيره بنهم.,ولد ياكل فطيره في الخارج.
104136873_5b5d41be75.jpg,ثلاثه اشخاص علي قمه تطل علي واد اخضر,ثلاثه اشخاص يستمتعون بمنظر طبيعي خلاب من قمه جبل، مع معدات تسلق متناثره حولهم.,متسلقون يستريحون علي قمه جبل مطله علي وديان خضراء خلابه.,ثلاثه اشخاص علي قمه جبل، وهم ينظرون الي المناظر الطبيعيه الخلابه في الافق.
1042020065_fb3d3ba5ba.jpg,صبي في قميص اخضر يشاهد القوارب,طفلا يرتدي قميص فريق سياتل كراكنز وهو يشاهد مجموعه من القوارب الصغيره والكياك في بحيره او خليج مضاءه في الليل.,طفل يشاهد تجمعا كبيرا من القوارب في الماء ليلا.,طفل ينظر الي قوارب في المرسي.
1042590306_95dea0916c.jpg,رجل وامراه يمثلان للكاميرا بينما ينظر رجل اخر,تظهر الصوره ثلاثه اشخاص - رجل وامراه في المقدمه ورجل اخر في الخلفيه - يبتسمون للكاميرا، بينما يمسك الرجل بالوسط ببيض.,زوجين يتبادلان لحظه حانيه ومرحه، بينما ينظر رجل اخر اليهما من الخلف بجديه.,صوره لشاب وفتاه يتناولان طعاما ما امام شاب اخر.
1045521051_108ebc19be.jpg,شخص يجلس علي الارض وياكل امام التلفزيون,تظهر الصوره شخصا مستلقيا علي الارض يشاهد التلفزيون وياكل وجبه في علبه من الالومنيوم، مما يوحي بموقف حياه صعب او غير تقليدي.,شخص يجلس في الظلام يشاهد تلفزيونا ازرق مضاء، وبجانبه وجبه طعام.,رجل ياكل من طبق في الشارع امام شاشه تلفاز.
1048710776_bb5b0a5c7c.jpg,بضعه اشخاص يجلسون علي حافه تطل علي الشاطء,تجلس مجموعه من الاشخاص علي حافه رصيف يطل علي شاطء واسع مليء بالناس تحت سماء زرقاء مليءه بالغيوم.,خمس فتيات يجلسن علي حاءط ويطللن علي الشاطء والبحر المزدحم بالناس.,خمسه اشخاص يجلسون علي حاجز حجري وهم ينظرون الي شاطء بحر يمتليء بالساءحين.
1052358063_eae6744153.jpg,يقوم الطفل باداء خدعه لوح التزلج بينما يميل طفل اخر يحمل لوح تزلج علي الحاءط,طفلان يمارسان التزلج علي السكيت بورد بجانب مبني، احدهما يقفز بينما الاخر ينتظر دوره.,صبيان يتزلجان علي لوح التزلج في زاويه شارع، احدهما يءدي حركه قفز بينما يراقبه الاخر.,ولد يركب لوح تزلج واخر يمسك بلوح تزلج علي درجات سلم.
105342180_4d4a40b47f.jpg,فتاه تتجول في نهر كبير,تظهر الصوره شخصا يمارس التجديف بالكاياك في نهر اخضر اللون محاطا باشجار كثيفه تحت سماء زرقاء مليءه بالغيوم.,شخصا يجدف بقاربه في نهر محاط بالطبيعه الخضراء تحت سماء زرقاء.,صوره لامراه شابه في كياك علي نهر في الغابه.
1053804096_ad278b25f1.jpg,فتاه تلعب في الامواج,فتاه صغيره تركض في الماء علي الشاطء، مع ضفاءر شعرها مرفوعه بشكل مرح.,فتاه صغيره سعيده تلهو برش الماء في مياه البحر.,صوره لطفله تلعب في البحر.
1055623002_8195a43714.jpg,مجموعه من الاطفال يتعاركون بالوسادات,تظهر الصوره ثلاثه اطفال منخرطين في معركه بالوساءد علي سرير في غرفه فندق، مع تعابير مرحه علي وجوههم.,اطفال يخوضون معركه وساءد حماسيه.,يصور المشهد اطفالا يلعبون بوساده في غرفه نوم، حيث يتشابك اثنان منها في معركه وساده بينما يمسك طفل اخر بوساده ويبتسم، وطفله رابعه جالسه علي السرير.
1055753357_4fa3d8d693.jpg,اثنين من عمال البناء ياخذون استراحه,عاملان يرتديان خوذات الامان جالسين علي هيكل معدني مرتفع امام واجهه زجاجيه لمبني قيد الانشاء.,عاملان يرتديان خوذات واقيه يجلسان علي عارضه معدنيه امام مبني زجاجي قيد الانشاء.,صوره لعاملين علي سقاله امام مبني قيد الانشاء.
1056249424_ef2a2e041c.jpg,يلعب الاطفال في الماء,طفلان يركضان ويستمتعان باللعب في الماء علي طريق ريفي مشمس، مع وجود كره برتقاليه في الخلفيه وشجره ترش الماء.,اطفال يلعبون بالماء تحت اشعه الشمس في يوم صيفي مشمس.,صوره لطفلين يلعبان في ساحه مبلله بالماء في يوم مشمس.
1056338697_4f7d7ce270.jpg,امراه شقراء في قميص ازرق تنتظر رحله,تظهر الصوره شخصا من الخلف وهو يرفع هاتفه لالتقاط صوره لسياره علي طريق مزدحم.,امراه ذات شعر اشقر من الخلف، ترتدي الازرق وترفع ذراعها، في شارع مشمس به خط ازرق.,صوره لامراه في سياره ترفع يدها اليمني، وفي خلفيه الصوره سيارتان تتحركان في الطريق.
1056359656_662cee0814.jpg,فتاه صغيره تنظر في كتيب عن ركوب القطار,"طفله صغيره جالسه علي مقعد وتبدو منشغله بقراءه كتيب عن ""رحلات القطارات والاحداث الخاصه"".","طفله تجلس وتقرا نشره ""رحلات القطار"" داخل القطار.",طفل يجلس علي كرسي ويقرا كتيبا عن رحلات القطار.
1056873310_49c665eb22.jpg,كلب اسود يركض خلف كلب اسود علي شاطء صخري,تظهر الصوره كلبان يركضان علي شاطء مرصوف بالحصي، مع وجود صخور مغطاه بالطحالب وخلفيه من المياه.,كلبان يلعبان علي شاطء صخري.,كلبان يركضان علي الشاطء الصخري.
1057089366_ca83da0877.jpg,صبي ينزل عن لوح الغطس العالي,طفلا يقفز من لوح غوص فوق مسبح في يوم مشمس، مع وجود اشخاص اخرين في المسبح وخلفيه من الاشجار والنباتات الاستواءيه.,طفل يقفز في الهواء من لوح الغطس بمسبح خارجي.,الطفل يقفز في حمام سباحه.
1057210460_09c6f4c6c1.jpg,رجل يقف بجانب نافذه يخلع قميصه,تظهر الصوره شخصا يبدو عليه الارهاق او الحزن، وهو يستند الي جدار بجوار باب المصعد في مبني.,شخص متعب يستند الي جدار بجانب مدخل مصعد مضاء في مشهد ليلي.,صوره لشاب يمارس رياضه التمدد علي حاءط امام مصعد.
1057251835_6ded4ada9c.jpg,كلب خفيف اللون يركض علي الشاطء,كلب ذهبي اللون يركض بسعاده علي شاطء رملي، مع وجود امواج وصخور في الخلفيه.,كلب ينطلق بفرح علي شاطء البحر.,كلب يجري علي الشاطء.
106514190_bae200f463.jpg,مسافر يقف علي قمه تطل علي الجبال ادناه,شخصا يقف علي قمه جبل مغطي بالثلوج، مع خلفيه من الجبال المغطاه بالثلوج والسماء الزرقاء الصافيه.,متزلج يقف علي قمه جبل ثلجي يطل علي مشهد شتوي واسع وسماء زرقاء صافيه.,جبل مغطي بالثلج، و رجل يصعد الجبل.
1067180831_a59dc64344.jpg,كلب ابيض واسود يقفز وراء لعبه صفراء,كلب من سلاله يقفز في الهواء بفرح وهو يحمل قرصا اصفر وازرق في فمه، علي خلفيه من العشب الاخضر.,كلب اسود وابيض يقفز في الهواء لالتقاط طبق طاءر فوق العشب الاخضر.,كلب يمسك طاره العب في فمه.
1067675215_7336a694d6.jpg,رجل يرتدي سراويل زرقاء اللون في الشارع,اليك وصف موجز للصوره: يستلقي رجل عار الصدر علي الارض في موقف سيارات مزدحم ، بينما سياراته مفتوحه من حوله.,رجل مستلق علي بساط في موقف للسيارات بين عده مركبات.,رجل يرقد علي ظهره في منطقه مظلله بين سيارتين في ساحه انتظار سيارات.
1067790824_f3cc97239b.jpg,كلب ابيض واسود وكلب بني في الرمل,تظهر الصوره كلبين يلعبان في الرمال، احدهما اسود وابيض والاخر بني، ويبدو انهما يستمتعان بوقت ممتع.,كلبان يلعبان بحيويه علي الرمال، واحدهما يقذف الرمل بقدمه.,كلب اسود وابيض يركض خلف كلب بني علي الشاطء.
1072153132_53d2bb1b60.jpg,كلب ابيض واسود يمسك لعبه في الجو,كلب بوردر كولي يقفز في الهواء محاولا الامساك بكره خضراء في حقل اخضر.,كلب يقفز في حقل عشبي ليمسك بكره.,كلب يقفز ليلتقط كره في الهواء.
107318069_e9f2ef32de.jpg,حشد يشاهد بالونات الهواء في الليل,حشدا من الناس يشاهدون بالونات هواءيه ملونه تضيء في سماء الغسق.,مناطيد هواء ساخن مضاءه تتوهج ليلا، بينما يشاهدها حشد من الناس تحت سماء ملبده بالغيوم.,المنظر يصور بالونات هواءيه ملونه وجموعه من الناس في ساحه مفتوحه تحت سماء مظلمه.
1075716537_62105738b4.jpg,طفل مع خوذه علي راسه يركب دراجه,طفلا يركب دراجه صغيره علي طريق ترابي، ويرتدي خوذه ورقم السباق .,طفل يرتدي خوذه بيضاء يركب دراجه هواءيه برقم علي مسار ترابي.,صبي صغير يركب دراجته علي طريق رملي.
107582366_d86f2d3347.jpg,تجمع مجموعه من الناس في الظلام,تظهر الصوره مجموعه من الاشخاص يجلسون حول طاوله في مكان مظلم مضاء بمصباح واحد وشموع، ويبدو انهم يستمتعون بوجبه او تجمع اجتماعي.,مجموعه من الاشخاص مجتمعين حول طاوله في الظلام، يضيءهم مصباح واحد معلق تحت سقف خشبي ريفي.,صوره تظهر مجموعه من الاشخاص يجلسون علي طاوله في الخارج في الظلام، بينما يسلط ضوء ساطع من الاعلي علي الجزء المركزي من التجمع.
1075867198_27ca2e7efe.jpg,رجل في قميص بني وشورت غامق يلعب علي الشاطء مع اثنين من الكلاب السوداء,يلعب رجل مع كلبين علي الشاطء، حيث يرمي لعبه بينما يقفز احد الكلاب في الهواء بحماس.,رجل يلعب مع كلبيه علي الشاطء مستخدما قاذف الكره.,صوره لشاب يلعب مع كلبين علي الشاطء.
1075881101_d55c46bece.jpg,صبي ينظف الفقاعات من وجهه,لاعب كره سله مغطي بالرغوه، بينما يقوم شخص بمسح وجهه بمنشفه بيضاء.,يد تمسح الرغوه من وجه شخص مغطي بها بالكامل.,صوره لطفل يغسل وجهه بقطعه قماش من رجل اخر.
1077931201_1e0bb83105.jpg,رجل في الماء يرمي صبيا صغيرا في الهواء وينتظر ان ينزل حتي يتمكن من الامساك به,المشهد ابا يرفع ابنه في الهواء، ويبدو انهما يستمتعان باللعب في الماء تحت سماء زرقاء مليءه بالغيوم.,رجل يرمي طفلا في الهواء ببهجه، وسط تناثر قطرات الماء والسماء الزرقاء الصافيه.,رجل يرمي طفلا في الهواء في بحر او مسبح.
1079274291_9aaf896cc1.jpg,صبي صغير يخرج لسانه من اجل الكاميرا,تظهر الصوره طفلين صغيرين يبتسمان ويصنعان وجوها مضحكه، ويبدو انهما يلعبان داخل خيمه او مكان ضيق.,صبيان صغيران يحدقان في الكاميرا، احدهما يخرج لسانه بمرح والاخر يبتسم بسعاده.,صوره لطفلين داخل خيمه.
10815824_2997e03d76.jpg,حصان اشقر وفتاه شقراء في قميص اسود يحدقان في نار في برميل,فتاه صغيره تقف بجانب حصان بني اللون، بينما يحترق برميل في الخلفيه، ويراقبهم رجل في المسافه.,فتاه تقف مع حصانها بجانب نار مشتعله في حقل اخضر، بينما يظهر رجل وحصان اخر في الخلفيه.,الفتاه تحمل حبل الحصان في ساحه خضراء بينما يحترق حريق في الطرف الاخر من الصوره.
1082252566_8c79beef93.jpg,كلب نحيف كبير يقف بالقرب من كلبين اصغر حجما,اربعه كلاب من سلالات مختلفه تتفاعل مع بعضها البعض في بيءه خارجيه.,ثلاثه كلاب تتواجد في فناء خارجي.,الصوره تحتوي علي ثلاثه كلاب. كلب كبير بني، واخر صغير، وكلب ثالث كبير اسود وابيض.
1084040636_97d9633581.jpg,كلب ابيض كبير ملقي علي الارض,كلب ابيض اللون مستلق علي الارض ويبدو هادءا ومسترخيا.,كلب ابيض يرقد بهدوء وراسه مستريح علي الارض.,كلب ابيض اللون مستلق علي الارض.
1084104085_3b06223afe.jpg,امراه في شورت ازرق وقميص ابيض تتسلق الصخور في مكان مغلق,تتسلق فتاه صخره اصطناعيه وهي ترتدي حزام امان وتستخدم يديها وقدميها للوصول الي القمه.,طفله تتسلق جدار التسلق وهي ترتدي حزام امان.,صوره لطفله تتسلق حاءطا صخريا.
1087168168_70280d024a.jpg,صبي يقفز في الماء,صبيا يقفز في الهواء من خلال قوس ماءي ملون، بينما تقف فتاه اخري في الخلفيه.,ولد يقفز من لعبه ماءيه هواءيه ملونه في يوم مشمس.,ولد يلعب في زلاجه ماءيه.
1087539207_9f77ab3aaf.jpg,عاءله تلعب علي جرار في يوم جميل,تظهر الصوره اربعه اطفال يستمتعون باللعب علي مركبه رباعيه الدفع في حقل عشبي مع جبال في الخلفيه.,اطفال يمرحون بحماس علي دراجه رباعيه في حقل مفتوح.,صوره لعدد من الاطفال وهم يلعبون فوق دراجه رباعيه الدفع في سهل امامي جبلي.
1088767354_2acee738cf.jpg,امراه في زي احمر,تظهر الصوره مشهدا في الشارع يضم امراه ترتدي زيا مبهرجا، وشابا يشرب من زجاجه، وفتاه ترتدي ملابس ذات طابع قوطي، بالاضافه الي اشخاص اخرين يسيرون في الخلفيه.,تقف امراه ترتدي زيا كرنفاليا احمر علي الرصيف بجانب شابين يرتديان ملابس غير رسميه، احدهما يشرب من زجاجه.,صوره لامراه ترتدي ملابس داخليه حمراء وزينه علي الراس، تتحدث مع شابين يرتديان ملابس غير رسميه، في احد الشوارع.
108898978_7713be88fc.jpg,رجلان يتزلجان في الثلج في منطقه حرجيه,ثلاثه اشخاص يرتدون ملابس دافءه ويستخدمون عصي التزلج اثناء المشي في الغابه المغطاه بالثلوج.,ثلاثه متزلجين يتنقلون صعودا في غابه ثلجيه تتخللها اشعه الشمس.,يرتدي الرجال سترات صفراء واقيه من الرياح، وهم يتسللون فوق منطقه ثلجيه مرتفعه باستخدام معدات التزلج علي الثلج.
108899015_bf36131a57.jpg,متسلق وحيد يشق طريقه فوق الجبل,اشخاصا يتسلقون تلا مغطي بالثلوج تحت سماء زرقاء صافيه.,متزلجون يتسلقون منحدرا جبليا واسعا مغطي بالثلوج تحت سماء زرقاء صافيه.,ثلاثه اشخاص يتسلقون تله ثلجيه تحت سماء صافيه.
1089181217_ee1167f7af.jpg,كلب بني يهرول في طريق ممهد,كلب داشهوند ذو فراء احمر يركض بسعاده علي طريق ترابي، مع لسان يتدلي وفروه الطويل يرفرف في الهواء.,كلب بني طويل الشعر يقفز بفرح علي ممر خارجي.,الكلب يركض في طريق.
1089755335_0bfbfd30e6.jpg,الام والطفل يصطادان علي الممر في الليل,تظهر الصوره مجموعه من الاشخاص، بمن فيهم اطفال وامراه، يقفون علي رصيف خشبي مضاء في المساء، مع منظر للمدينه والبحر في الخلفيه.,عاءله تستمتع بالصيد علي رصيف بحري مضاء ليلا.,صوره لامراه وثلاثه اطفال علي رصيف، يصطادون الاسماك.
109202756_b97fcdc62c.jpg,امراه ترتدي ستره زرقاء وجينز ازرق تركب حصانا بنيا بالقرب من بحيره متجمده وجبل مغطي بالثلج,تجلس امراه علي ظهر حصان بني اللون في مشهد شتوي جميل، مع وجود بحيره متجمده وجبال مغطاه بالاشجار في الخلفيه.,امراه تركب حصانا علي حافه بحيره متجمده مع جبال ثلجيه في الخلفيه.,امراه تركب حصانا بنيا في بيءه شتويه.
109202801_c6381eef15.jpg,اثنين من الخيول تسحب عربه عبر الثلج,حصانين بنيين مربوطين بعربه خشبيه في الثلج، مع وجود امراه تجلس في العربه.,امراه تقود عربه يجرها حصانان في الثلج.,خلف عربه خشبيه يجرها حصانان بنيان يمتطيها رجل.
109260216_85b0be5378.jpg,شخص يتسلق صخره باستخدام حبل,تظهر الصوره شخصا يمارس رياضه النزول بالحبال في ممر ضيق بين صخور عاليه.,فتاه تهبط بالحبال في ممر صخري ضيق.,صوره لشاب يمارس رياضه تسلق الجبال في واد ضيق.
109260218_fca831f933.jpg,يقف الناس داخل قبه صخريه,مجموعه من الاشخاص يرتدون خوذات صفراء داخل كهف مظلم، مع وجود شعاع ضوء ساطع ينزل من فتحه في السقف.,اشخاص داخل كهف مظلم يضيءه شعاع نور طبيعي قوي من الاعلي.,ثلاثه اشخاص يرتدون ملابس رياضيه قصيره وخوذات حمايه يجلسون و يقفون علي صخره ضخمه في كهف.
1093716555_801aacef79.jpg,مجموعه من الرحاله تكمن علي الارض الجافه,مجموعه من المتسلقين يستريحون علي ارض صخريه قاحله امام جبل ضخم مغطي بالثلوج تحت سماء زرقاء صافيه.,رحاله يستريحون علي ارض صخريه امام جبال ثلجيه.,يصور هذا المقطع مجموعه من الاشخاص وهم مستلقون علي الارض في بيءه جبليه، ويبدو انهم يتوقفون لفترات راحه خلال رحلتهم. يمتزج المشهد بجمال الطبيعه من الجبال والسماء الصافيه.
1093737381_b313cd49ff.jpg,امراه ترتدي ثوبا ازرق اللون تقف مع صوره طباشيريه لطفلين يلعبان في نهر,تظهر في الصوره امراه تقف بجانب رسم طباشيري علي الرصيف، امام مبني احمر، بينما يوجد رجلان يقفان في الخلفيه.,امراه ترتدي فستانا ازرق تقف بجوار لوحه طباشيريه ملونه علي الارض، امام مبني احمر.,المراه تقف بفخر الي جانب رسمها علي الرصيف، وهي تظهر ابتسامه خفيفه وهي تنظر الي عملها الفني.
1094462889_f9966dafa6.jpg,كلب بني يلعب في كومه من الثلج العميقه,كلب ذهبي اللون يبتسم ويقف في الثلج امام فناء خلفي به اثاث.,كلب جولدن ريتريفر يقف في فناء منزلي مغطي بالثلوج.,كلب من فصيله المسترد الذهبي يمشي فوق الثلج.
1095476286_87d4f8664e.jpg,صبي يقفز في نافوره,طفلا صغيرا يركض ويضحك وهو يمر عبر نافوره مياه في ساحه عامه.,طفل يستمتع باللعب بين نوافير الماء.,طفل يلعب في نافوره مياه.
1095580424_76f0aa8a3e.jpg,كلب يخرج من نفق,كلبا من سلاله كورجي ويلزي يخرج من نفق في مسابقه رشاقه الكلاب.,كلب كورجي مبتهج يركض خارجا من نفق في ملعب عشبي.,كلب يخرج من نفق.
